MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CD15D16,4601734.69207476,72982.3208717655,200386461.286956,-4601734.69207476,-72982.3208717655,201016303.507754
CE15E16,4681552.71314203,127517.809652515,348869428.45784,-4681552.71314203,-127517.809652515,352478524.630992
CF15F16,3809606.29770048,60927.9258002861,164989823.950639,-3809606.29770048,-60927.9258002861,170113767.950935
CG15G16,3208793.70229967,214134.364531958,586307904.657688,-3208793.70229967,-214134.364531958,591431100.26808
CA16A17,2595913.06157365,-159008.55235612,-437882041.536315,-2595913.06157365,159008.55235612,-436664996.422345
CB16B17,3356086.93842634,-5800.13721162085,-16561188.9059467,-3356086.93842634,5800.13721162085,-15339565.757968
CC16C17,3662400.92604413,-35527.9278220706,-99223095.5820632,-3662400.92604413,35527.9278220706,-96180507.4393254
CD16D17,3902968.28000252,64502.1771209276,176948585.719717,-3902968.28000252,-64502.1771209276,177813388.445385
CE16E17,3954630.79395352,122259.061616936,334317201.83777,-3954630.79395352,-122259.061616936,338107637.055379
CF16F17,3246532.34502704,57183.351722892,154728636.920728,-3246532.34502704,-57183.351722892,159779797.555178
CG16G17,2705467.65497299,210392.026930824,576049991.789926,-2705467.65497299,-210392.026930824,581106156.329604
CA17A18,2144181.05059741,-166922.62396789,-459939817.615257,-2144181.05059741,166922.62396789,-458134614.208137
CB17B18,2741418.94940243,-13730.0087303453,-38641735.4550233,-2741418.94940243,13730.0087303453,-36873312.5618757
CC17C18,3018047.69666846,-41622.4114184652,-116117254.189147,-3018047.69666846,41622.4114184652,-112806008.612412
CD17D18,3205337.82849762,55997.0758145924,153457881.09593,-3205337.82849762,-55997.0758145924,154526035.884328
CE17E18,3232614.47483387,116916.074214792,319549752.473677,-3232614.47483387,-116916.074214792,323488655.707677
CF17F18,2679350.45587968,53084.895730947,143503450.701326,-2679350.45587968,-53084.895730947,148463475.818882
CG17G18,2206249.5441205,206276.998358035,564800759.365614,-2206249.5441205,-206276.998358035,569722731.60358
CA18A19,1684350.74140392,-174527.85263997,-481041465.7599,-1684350.74140392,174527.85263997,-478861723.759937
CB18B19,2134849.25859595,-21216.6081886206,-59568854.0018859,-2134849.25859595,21216.6081886206,-57122491.0355275
CC18C19,2367726.41940171,-47675.6352722067,-132866750.709345,-2367726.41940171,47675.6352722067,-129349243.287792
CD18D19,2508675.09820173,47484.5267236895,129961966.995576,-2508675.09820173,-47484.5267236895,131202929.984716
CE18E19,2515598.48239688,111519.936329948,304643252.436177,-2515598.48239688,-111519.936329948,308716397.378539
CF18F19,2107681.06958341,48550.0360682166,131203302.546781,-2107681.06958341,-48550.0360682166,135821895.82841
CG18G19,1711518.93041678,201865.596980111,552681933.919629,-1711518.93041678,-201865.596980111,557578849.470984
CA19A20,1216756.25363515,-181470.587548425,-500676148.297132,-1216756.25363515,181470.587548425,-497412083.219204
CB19B20,1536043.74636488,-29031.0473028123,-80481758.4794874,-1536043.74636488,29031.0473028123,-79189001.68598
CC19C20,1711530.81277969,-53596.946503205,-149282638.726853,-1711530.81277969,53596.946503205,-145500567.040774
CD19D20,1812794.63020852,38976.0165333336,106503640.022636,-1812794.63020852,-38976.0165333336,107864450.910699
CE19E20,1803674.55701201,106012.042130979,289492102.257895,-1803674.55701201,-106012.042130979,293574129.462488
CF19F20,1531190.04338687,44351.457285055,118948979.838368,-1531190.04338687,-44351.457285055,124984035.229435
CG19G20,1221609.95661326,196759.065406085,539094499.798943,-1221609.95661326,-196759.065406085,543080359.934526
CA20A21,742562.857690239,-190801.453010093,-519728601.298554,-742562.857690239,190801.453010093,-529679390.256957
CB20B21,943837.142309828,-31425.6778896735,-90100971.2177082,-943837.142309828,31425.6778896735,-82740257.1754961
CC20C21,1049484.599155,-60718.9134270897,-166199876.131968,-1049484.599155,60718.9134270897,-167754147.717026
CD20D21,1117707.51541599,30678.2323628752,83406550.0775639,-1117707.51541599,-30678.2323628752,85323727.9182497
CE20E21,1096807.885429,101768.964362747,275059892.305872,-1096807.885429,-101768.964362747,284669411.689236
CF20F21,948714.221874408,34498.5511093858,95291227.5269502,-948714.221874408,-34498.5511093858,94450803.5746715
CG20G21,737685.77812553,194000.296492269,525248251.429434,-737685.77812553,-194000.296492269,541753379.278046
CA21A22,268894.363997939,-133408.796319435,-458724409.27221,-268894.363997939,133408.796319435,-475137164.963835
CB21B22,351105.636002238,-36146.9691541167,-109775127.065682,-351105.636002238,36146.9691541167,-143253657.013135
CC21C22,386429.637261442,-40042.5656357806,-143519578.576958,-386429.637261442,40042.5656357806,-136778380.873506
CD21D22,412934.499604733,15800.1631514794,54081747.3014443,-412934.499604733,-15800.1631514794,56519394.7589117
