MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CB9B10,7922053.954393,62221.3133212784,173525317.667391,-7922053.954393,-62221.3133212784,168691905.599638
CC9C10,7998185.08350089,8543.14743616703,23547339.7273371,-7998185.08350089,-8543.14743616703,23439971.1715827
CD9D10,8832034.29684551,122465.089883418,337496536.65032,-8832034.29684551,-122465.089883418,336061457.708481
CE9E10,9137780.61965352,156137.560637016,428387293.273343,-9137780.61965352,-156137.560637016,430369290.230242
CF9F10,7124463.18637425,75205.2309115616,204428420.591004,-7124463.18637425,-75205.2309115616,209200349.422584
CG9G10,6292336.81362616,228411.358726545,625745413.333276,-6292336.81362616,-228411.358726545,630517059.662722
CA10A11,5112452.51896442,-102289.247462342,-279433571.709926,-5112452.51896442,102289.247462342,-283157289.332957
CB10B11,7237947.48103544,50916.0494409623,141881244.465286,-7237947.48103544,-50916.0494409623,138157027.460008
CC10C11,7397944.40180036,2116.4005642798,5574751.34057346,-7397944.40180036,-2116.4005642798,6065451.76296455
CD10D11,8121239.11573453,114494.930831336,315368247.070308,-8121239.11573453,-114494.930831336,314353872.502036
CE10E11,8384816.48246528,151845.66368367,416420837.356434,-8384816.48246528,-151845.66368367,418730312.903757
CF10F11,6577579.95122615,73854.9678370304,200645633.302198,-6577579.95122615,-73854.9678370304,205556689.801469
CG10G11,5772820.04877411,227061.235105298,621962988.557756,-5772820.04877411,-227061.235105298,626873804.521387
CA11A12,4718632.57351725,-113004.779191791,-309412338.677171,-4718632.57351725,113004.779191791,-312113946.877681
CB11B12,6565367.42648268,40200.7783947308,111903173.354386,-6565367.42648268,-40200.7783947308,109201107.816634
CC11C12,6791142.01634641,-4259.21962728925,-12231009.4496062,-6791142.01634641,4259.21962728925,-11194698.5004849
CD11D12,7413209.51481691,106394.29679677,292896322.071175,-7413209.51481691,-106394.29679677,292272310.311066
CE11E12,7635648.46883684,147327.27186099,403841331.953609,-7635648.46883684,-147327.27186099,406458663.28183
CF11F12,6029056.02078441,72067.6313921803,195675281.63513,-6029056.02078441,-72067.6313921803,200696691.021861
CG11G12,5254943.97921588,225274.020374753,616992954.403922,-5254943.97921588,-225274.020374753,622014157.65722
CA12A13,4313882.45234972,-123171.366140241,-337839790.037151,-4313882.45234972,123171.366140241,-339602723.734174
CB12B13,5903717.54765019,30034.4299321902,83476356.8388693,-5903717.54765019,-30034.4299321902,81713007.7881761
CC12C13,6177880.58462088,-10587.9114143987,-29882497.9591952,-6177880.58462088,10587.9114143987,-28351014.8199942
CD12D13,6707584.03483018,98181.8684266428,270132280.449907,-6707584.03483018,-98181.8684266428,269867995.896628
CE12E13,6890535.3805491,142611.69258032,390730508.039527,-6890535.3805491,-142611.69258032,393633801.152231
CF12F13,5478443.78623582,69862.3970785647,189571374.487936,-5478443.78623582,-69862.3970785647,194671809.444169
CG12G13,4739156.21376452,223068.889537148,610889314.07245,-4739156.21376452,-223068.889537148,615989578.381861
CA13A14,3898757.26627517,-132826.507823859,-364820727.306238,-3898757.26627517,132826.507823859,-365725065.724986
CB13B14,5252442.7337248,20379.4999718837,56495989.4694605,-5252442.7337248,-20379.4999718837,55591260.3759003
CC13C14,5558252.94628616,-16872.0225304623,-47387062.0894343,-5558252.94628616,16872.0225304623,-45409061.828111
CD13D14,6004044.59525216,89875.8039439217,247126182.348927,-6004044.59525216,-89875.8039439217,247190739.342642
CE13E14,6149702.45846188,137725.679351901,377162935.035502,-6149702.45846188,-137725.679351901,380328301.399958
CF13F14,4925314.16988063,67255.4874421134,182379745.473958,-4925314.16988063,-67255.4874421134,187525435.457666
CG13G14,4225885.83011967,220462.059644738,603697894.970515,-4225885.83011967,-220462.059644738,608843433.075544
CA14A15,3473774.60993159,-142004.390786452,-390450690.553296,-3473774.60993159,142004.390786452,-390573458.772187
CB14B15,4611025.39006835,11201.8512849122,30866604.2953875,-4611025.39006835,-11201.8512849122,30743577.7716299
CC14C15,4932344.68267739,-23112.2579017969,-64747427.0496893,-4932344.68267739,23112.2579017969,-62369991.4101962
CD14D15,5302310.75615853,81493.8237724523,223926861.984097,-5302310.75615853,-81493.8237724523,224289168.764388
CE14E15,5413344.56116432,132693.754365765,363206923.038918,-5413344.56116432,-132693.754365765,366608725.97279
CF14F15,4369253.59844872,64260.2702293952,174138377.368013,-4369253.59844872,-64260.2702293952,179293108.89366
CG14G15,3715546.40155156,217466.949035766,595456754.064211,-3715546.40155156,-217466.949035766,600611465.632505
CA15A16,3039417.940731,-150735.889293345,-414816252.670475,-3039417.940731,150735.889293345,-414231138.442921
CB15B16,3978982.05926889,2470.24979952315,6501107.06449407,-3978982.05926889,-2470.24979952315,7085266.83288181
CC15C16,4300236.3951802,-29307.8289664067,-81962143.0050251,-4300236.3951802,29307.8289664067,-79230916.3102097
CD15D16,4602134.65033919,73053.2922205235,200582153.962339,-4602134.65033919,-73053.2922205235,201210953.250537
CE15E16,4681628.95448056,127538.470004816,348925277.582317,-4681628.95448056,-127538.470004816,352536307.444171
CF15F16,3809861.11063279,60887.6343464711,164878112.96334,-3809861.11063279,-60887.6343464711,170003875.942254
CG15G16,3208538.88936752,214094.071888621,586196190.442665,-3208538.88936752,-214094.071888621,591321204.94475
CA16A17,2596139.80677569,-159050.316988869,-437997695.416161,-2596139.80677569,159050.316988869,-436779048.022617
CB16B17,3355860.19322416,-5841.90068612453,-16676839.5036439,-3355860.19322416,5841.90068612453,-15453614.2700403
CC16C17,3662005.70735005,-35456.7926412585,-99026314.64369,-3662005.70735005,35456.7926412585,-95986044.8832318
CD16D17,3903296.57466602,64571.3102324887,177139138.018841,-3903296.57466602,-64571.3102324887,178003068.259849
CE16E17,3954697.7179839,122280.846056919,334376318.90612,-3954697.7179839,-122280.846056919,338168334.406933
CF16F17,3246745.51493831,57144.0899451243,154619906.237033,-3246745.51493831,-57144.0899451243,159672588.461151
CG16G17,2705254.48506182,210352.76408227,575941258.084593,-2705254.48506182,-210352.76408227,580998944.367897
CA17A18,2144364.55763397,-166963.462018041,-460052770.131443,-2144364.55763397,166963.462018041,-458246270.967787
CB17B18,2741235.44236594,-13770.8448302841,-38754683.5639405,-2741235.44236594,13770.8448302841,-36984963.0026255
CC17C18,3017729.41689241,-41554.2088219998,-115928767.945363,-3017729.41689241,41554.2088219998,-112619380.575633
CD17D18,3205600.38239235,56064.6940648279,153644184.240399,-3205600.38239235,-56064.6940648279,154711633.116155
CE17E18,3232670.20071533,116938.754845407,319611494.031152,-3232670.20071533,-116938.754845407,323551657.618585
CF17F18,2679522.96601608,53046.4829265302,143397199.377494,-2679522.96601608,-53046.4829265302,148358456.718423
CG17G18,2206077.03398401,206238.583834873,564694504.111048,-2206077.03398401,-206238.583834873,569617706.980749
CA18A19,1684491.87936331,-174567.954711358,-481152247.534457,-1684491.87936331,174567.954711358,-478971503.378014
CB18B19,2134708.1206367,-21256.7143350406,-59679640.3378403,-2134708.1206367,21256.7143350406,-57232288.5048833
CC18C19,2367481.83601657,-47609.7396068369,-132684826.745614,-2367481.83601657,47609.7396068369,-129168741.091989
CD18D19,2508876.64754918,47550.9456404823,130144891.255643,-2508876.64754918,-47550.9456404823,131385309.767012
CE18E19,2515641.51643425,111543.314393764,304707059.383882,-2515641.51643425,-111543.314393764,308781169.781817
CF18F19,2107813.71564522,48512.2921574188,131099036.265966,-2107813.71564522,-48512.2921574188,135718570.599834
CG18G19,1711386.28435488,201827.856462895,552577671.14025,-1711386.28435488,-201827.856462895,557475539.40567
CA19A20,1216855.69404857,-181510.153747804,-500785301.619272,-1216855.69404857,181510.153747804,-497520543.993653
CB19B20,1535944.30595136,-29070.577984344,-80590852.3018576,-1535944.30595136,29070.577984344,-79297326.6120351
CC19C20,1711357.43217826,-53532.7959391043,-149105674.487603,-1711357.43217826,53532.7959391043,-145324703.177471
CD19D20,1812938.81713721,39041.5457845239,106684053.247583,-1812938.81713721,-39041.5457845239,108044448.567302
CE19E20,1803703.75068414,106035.948786792,289557501.90175,-1803703.75068414,-106035.948786792,293640216.425604
CF19F20,1531283.43717259,44314.2284955662,118846249.130426,-1531283.43717259,-44314.2284955662,124882007.595191
CG19G20,1221516.5628273,196721.804604934,538991716.902615,-1221516.5628273,-196721.804604934,542978208.424523
